LOT,Arrival Time at Staging Area,STARTOPER_MOVEIN_DATE,STARTOPER_MOVEOUT_DATE,STARTOPER_PREVOUT_DATE,STARTOPER_ENTITY,Available Start Entity,ENDOPER_MOVEIN_DATE,ENDOPER_MOVEOUT_DATE,ENDOPER_PREVOUT_DATE,ENDOPER_ENTITY,WAFER_QTY,Available Entity,Time step,Benchmark,Current Hours
L0033960,5/4/2020 7:58,7/4/2020 21:07,7/4/2020 21:58,7/4/2020 20:07,CVD225,13,7/4/2020 23:55,8/4/2020 1:34,7/4/2020 21:58,CDO202,25,2,0,1,1.935278
L0042500,5/4/2020 8:54,7/4/2020 20:25,7/4/2020 21:20,7/4/2020 20:09,CVD406,13,7/4/2020 22:55,8/4/2020 0:34,7/4/2020 21:20,CDO202,25,2,2,1,1.583889
L0012430,5/4/2020 9:27,7/4/2020 20:41,7/4/2020 21:31,7/4/2020 20:15,CVD426,13,7/4/2020 23:21,8/4/2020 0:51,7/4/2020 21:31,CDO203,25,2,8,1,1.838056
L0013860,5/4/2020 9:45,7/4/2020 23:01,7/4/2020 23:40,7/4/2020 22:57,CVD225,13,8/4/2020 0:15,8/4/2020 1:29,7/4/2020 23:40,CDO203,18,2,50,0,0.571944
L9525560,5/4/2020 9:51,7/4/2020 23:40,8/4/2020 0:31,7/4/2020 23:37,CVD619,13,8/4/2020 0:49,8/4/2020 1:55,8/4/2020 0:31,CDO201,25,2,90,0,0.288056
L0011330,5/4/2020 10:44,8/4/2020 0:03,8/4/2020 0:54,7/4/2020 23:59,CVD225,13,8/4/2020 1:23,8/4/2020 2:49,8/4/2020 0:54,CDO201,25,2,112,0,0.488889
L9506470,5/4/2020 11:01,8/4/2020 0:16,8/4/2020 1:08,8/4/2020 0:11,CVD223,13,8/4/2020 2:01,8/4/2020 3:39,8/4/2020 1:08,CDO202,24,3,124,0,0.871389
L0022690,5/4/2020 11:51,8/4/2020 0:16,8/4/2020 1:07,8/4/2020 0:13,CVD613,13,8/4/2020 1:31,8/4/2020 2:42,8/4/2020 1:07,CDO203,25,3,126,0,0.399167
L0022710,5/4/2020 12:28,8/4/2020 0:19,8/4/2020 1:36,8/4/2020 0:15,CVD620,13,8/4/2020 2:09,8/4/2020 3:37,8/4/2020 1:36,CDO203,25,3,127,0,0.541667
L9506910,5/4/2020 12:36,8/4/2020 0:49,8/4/2020 1:46,8/4/2020 0:35,CVD223,13,8/4/2020 2:36,8/4/2020 3:36,8/4/2020 1:46,CDO609,24,4,147,0,0.831389
